DateTime,FuelOil,GasOil,BlackCoal,Lignite,Geothermal,NaturalGas,Run-of-River,Dam,LNG,Biomass,Naphta,HardCoal,Asphaltite,Wind,Nuclear,Solar,ImportExport,Total
2015-01-01 00:00:00,292.8,0,229.0,3923.07,323.82,9118.21,1434.83,763.12,0.0,117.47,0,4890.65,136.89,2028.35,0,0,0,23258.21
2015-01-01 01:00:00,294.7,0,260.0,3941.05,326.17,8567.3,1356.33,774.36,0.0,116.69,0,4353.6,134.68,1944.95,0,0,0,22069.83
2015-01-01 02:00:00,289.5,0,268.0,3896.24,321.58,7685.02,1223.15,585.86,0.0,110.46,0,4157.7,136.89,1953.99,0,0,0,20628.39
2015-01-01 03:00:00,286.6,0,279.0,3884.91,328.77,7410.74,1125.22,372.21,0.0,111.53,0,3966.64,136.89,1928.77,0,0,0,19831.28
2015-01-01 04:00:00,282.3,0,271.0,3891.67,326.38,7232.88,1062.39,290.69,0.0,113.21,0,3797.66,134.68,1978.63,0,0,0,19381.49
2015-01-01 05:00:00,287.0,0,263.0,3808.88,330.5,7160.92,1047.52,531.65,0.0,120.45,0,3471.75,136.89,1950.66,0,0,0,19109.22
2015-01-01 06:00:00,289.9,0,268.0,3878.23,330.05,7231.58,1040.32,835.49,0.0,121.13,0,3436.8,136.89,1926.21,0,0,0,19494.6
2015-01-01 07:00:00,288.2,0,266.0,3867.1,329.56,7382.63,1184.31,417.21,0.0,121.34,0,3447.8,134.68,1829.7,0,0,0,19268.53
2015-01-01 08:00:00,284.0,0,242.0,3924.23,330.18,7983.17,1302.45,629.18,0.0,123.92,0,3496.87,136.89,1770.08,0,0,0,20222.97
2015-01-01 09:00:00,284.2,0,268.0,3940.11,330.54,8865.78,1394.93,799.24,0.0,126.23,0,4082.8,134.68,1787.81,0,0,0,22014.32
2015-01-01 10:00:00,295.5,0,274.0,3954.06,318.38,9751.97,1471.79,877.38,0.0,118.07,0,4773.76,136.89,1723.38,0,0,0,23695.18
2015-01-01 11:00:00,298.3,0,268.0,4004.73,325.53,10085.98,1631.83,1481.33,0.0,123.46,0,5322.7,136.89,1723.15,0,0,0,25401.9
2015-01-01 12:00:00,307.2,0,244.0,3895.29,328.69,10519.72,1611.89,1795.2,0.0,125.1,0,5412.82,136.89,1682.68,0,0,0,26059.48
2015-01-01 13:00:00,313.3,0,249.0,3913.94,335.28,11034.35,1511.85,1778.71,0.0,121.51,0,5461.8,136.89,1781.77,0,0,0,26638.4
2015-01-01 14:00:00,301.3,0,239.0,3841.27,319.42,11212.04,1495.33,1785.86,0.0,126.07,0,5445.76,136.89,1847.78,0,0,0,26750.72
2015-01-01 15:00:00,310.9,0,262.0,3831.35,326.89,11438.5,1575.29,1652.3,0.0,125.89,0,5470.95,136.89,1836.98,0,0,0,26967.94
2015-01-01 16:00:00,310.3,0,236.0,3293.17,328.26,12085.83,1610.77,2449.41,0.0,114.44,0,5428.95,136.89,1740.27,0,0,0,27734.29
2015-01-01 17:00:00,298.4,0,252.0,3813.95,331.56,12683.62,1696.98,2971.22,0.0,118.25,0,5423.8,136.89,1775.44,0,0,0,29502.11
2015-01-01 18:00:00,275.0,0,249.0,3777.96,331.57,12467.46,1664.29,2788.87,0.0,123.06,0,5416.88,136.89,1864.37,0,0,0,29095.35
2015-01-01 19:00:00,308.0,0,265.0,3697.32,332.87,12199.26,1640.38,2516.46,0.0,111.46,0,5393.95,136.89,1933.76,0,0,0,28535.35
2015-01-01 20:00:00,311.2,0,262.0,3735.6,333.3,12160.91,1710.36,2188.84,0.0,108.57,0,5230.85,136.89,1880.15,0,0,0,28058.67
2015-01-01 21:00:00,307.2,0,276.0,3752.89,333.29,12261.26,1698.68,1595.84,0.0,112.43,0,5113.9,136.89,1837.89,0,0,0,27426.27
2015-01-01 22:00:00,280.2,0,254.0,3767.46,333.02,11984.21,1697.86,1953.32,0.0,109.57,0,5110.8,134.68,1819.35,0,0,0,27444.47
2015-01-01 23:00:00,240.7,0,258.0,3737.36,333.29,11729.77,1597.61,1524.15,0.0,109.41,0,5095.79,136.89,1714.15,0,0,0,26477.12
2015-01-02 00:00:00,277.7,0,247.0,3615.79,332.68,10308.13,1642.89,1445.26,0.0,119.32,0,5065.9,136.89,1766.89,0,0,0,24958.45
2015-01-02 01:00:00,281.6,0,259.0,3595.95,334.99,9191.36,1541.32,917.22,2.0,122.69,0,5121.8,134.68,1708.89,0,0,0,23211.5
2015-01-02 02:00:00,285.6,0,288.0,3616.37,334.54,8883.54,1400.83,780.55,2.0,122.46,0,4625.65,136.89,1534.4,0,0,0,22010.83
2015-01-02 03:00:00,284.7,0,364.0,3670.95,334.3,8590.7,1352.75,781.18,4.5,118.46,0,4276.85,134.68,1471.59,0,0,0,21384.66
2015-01-02 04:00:00,279.3,0,394.0,3684.71,335.06,8643.34,1259.51,798.88,5.0,120.9,0,4161.86,136.89,1447.81,0,0,0,21267.26
2015-01-02 05:00:00,287.2,0,392.0,3745.96,332.54,9058.52,1243.29,834.31,7.0,123.52,0,4198.87,136.89,1463.9,0,0,0,21824.0
2015-01-02 06:00:00,304.1,0,397.0,3766.91,335.42,9153.69,1289.16,1053.75,9.0,123.71,0,4210.85,136.89,1435.29,0,0,0,22215.77
2015-01-02 07:00:00,294.4,0,416.0,3689.08,335.18,9897.98,1392.6,854.06,10.0,122.72,0,4597.8,134.68,1372.38,0,0,0,23116.88
2015-01-02 08:00:00,290.6,0,401.0,3662.54,332.25,12075.84,1653.89,2242.01,10.0,121.5,0,5324.7,134.68,1292.39,0,0,0,27541.4
2015-01-02 09:00:00,290.4,0,387.0,3606.9,333.06,14000.98,2139.27,3268.5,10.0,120.54,0,5442.85,136.89,1202.29,0,0,0,30938.68
2015-01-02 10:00:00,262.7,0,389.0,3624.08,331.27,15713.56,2250.15,3348.32,10.0,119.2,0,5454.9,136.89,1063.77,0,0,0,32703.84
2015-01-02 11:00:00,296.4,0,384.0,3634.15,330.98,16195.54,2184.76,3993.17,10.0,120.61,0,5505.86,136.89,979.83,0,0,0,33772.19
2015-01-02 12:00:00,298.2,0,271.0,3609.92,330.5,16480.03,1930.01,2242.9,10.0,126.2,0,5526.82,136.89,871.03,0,0,0,31833.5
2015-01-02 13:00:00,296.1,0,379.0,3631.63,330.29,16434.96,1820.16,3335.69,10.0,123.21,0,5482.8,136.89,835.38,0,0,0,32816.11
2015-01-02 14:00:00,289.5,0,386.0,3680.11,329.26,16393.98,1931.25,3589.76,9.8,126.25,0,5465.77,134.68,833.93,0,0,0,33170.29
2015-01-02 15:00:00,292.5,0,385.0,3705.57,331.45,16274.1,1954.72,3444.28,9.8,125.95,0,5470.95,136.89,892.62,0,0,0,33023.83
2015-01-02 16:00:00,291.6,0,375.0,3696.56,332.03,16574.92,2048.8,4054.7,9.8,123.64,0,5452.95,136.89,835.85,0,0,0,33932.74
2015-01-02 17:00:00,306.8,0,363.0,3686.14,334.48,17001.55,1937.17,4558.3,9.8,124.86,0,5464.8,136.89,782.74,0,0,0,34706.53
2015-01-02 18:00:00,307.6,0,250.0,3671.11,334.66,16443.42,1858.02,3438.1,9.8,126.13,0,5457.88,134.68,773.84,0,0,0,32805.24
2015-01-02 19:00:00,304.8,0,247.0,3601.1,334.6,15896.08,1843.33,2574.01,9.8,126.91,0,5459.95,136.89,676.66,0,0,0,31211.13
2015-01-02 20:00:00,296.8,0,247.0,3570.62,333.92,15559.71,1805.63,2344.92,9.8,124.85,0,5390.85,136.89,610.36,0,0,0,30431.35
2015-01-02 21:00:00,299.8,0,240.0,3578.23,334.67,15180.27,1803.85,2332.32,9.8,124.93,0,5265.9,136.89,531.43,0,0,0,29838.09
2015-01-02 22:00:00,266.8,0,260.0,3741.21,334.94,14930.68,1772.04,2839.03,10.0,122.83,0,5278.98,136.89,427.87,0,0,0,30121.27
2015-01-02 23:00:00,228.7,0,276.0,3820.35,335.89,14000.26,1565.35,2603.35,10.0,113.01,0,5270.79,136.89,371.62,0,0,0,28732.21
2015-01-03 00:00:00,260.5,0,260.0,3727.19,336.03,13530.77,1474.39,1373.9,10.0,124.23,0,5176.9,136.89,331.05,0,0,0,26741.85
2015-01-03 01:00:00,263.4,0,246.0,3482.3,333.77,12449.71,1387.72,1205.8,10.0,122.45,0,5020.8,136.89,277.99,0,0,0,24936.83
2015-01-03 02:00:00,266.1,0,258.0,3495.79,335.19,11417.63,1279.86,744.64,10.0,121.52,0,4998.9,136.89,249.34,0,0,0,23313.86
2015-01-03 03:00:00,262.0,0,245.0,3663.41,336.08,11199.77,1150.87,737.39,10.0,118.34,0,4540.85,136.89,236.04,0,0,0,22636.64
2015-01-03 04:00:00,259.0,0,238.0,3691.82,333.93,11219.54,1117.94,749.76,10.0,121.06,0,4657.86,136.89,226.08,0,0,0,22761.88
2015-01-03 05:00:00,265.9,0,261.0,3696.51,335.42,11311.23,1176.7,729.09,10.0,119.55,0,4720.87,136.89,249.69,0,0,0,23012.85
2015-01-03 06:00:00,288.7,0,251.0,3780.73,333.21,11136.71,1270.81,731.43,10.0,120.4,0,5204.88,136.89,256.23,0,0,0,23520.99
2015-01-03 07:00:00,289.1,0,265.0,3808.8,336.62,11358.86,1309.79,716.22,10.0,121.94,0,5247.8,136.89,299.59,0,0,0,23900.61
2015-01-03 08:00:00,289.1,0,277.0,3868.97,335.8,13795.95,1345.44,1473.92,10.0,125.24,0,5286.7,136.89,272.96,0,0,0,27217.97
2015-01-03 09:00:00,189.3,0,256.0,3857.83,334.01,15312.89,1779.39,2585.47,10.0,125.7,0,5306.85,134.68,232.79,0,0,0,30124.91
2015-01-03 10:00:00,168.7,0,257.0,3841.14,335.14,15885.19,2092.65,3171.34,10.0,125.78,0,5298.9,136.89,243.47,0,0,0,31566.2
2015-01-03 11:00:00,167.8,0,264.0,3810.92,334.52,16568.35,2027.31,3640.71,10.0,120.26,0,5299.86,136.89,269.49,0,0,0,32650.11
2015-01-03 12:00:00,168.5,0,253.0,3634.34,330.91,16310.07,1758.46,3422.24,9.8,125.33,0,5298.82,136.89,277.82,0,0,0,31726.18
2015-01-03 13:00:00,165.4,0,269.0,3667.25,331.67,16233.41,1726.78,3476.19,9.8,125.59,0,5302.8,134.68,290.84,0,0,0,31733.41
2015-01-03 14:00:00,162.4,0,248.0,3680.58,329.31,15671.66,1725.27,3551.39,9.8,126.99,0,5297.76,136.89,387.61,0,0,0,31327.66
2015-01-03 15:00:00,170.5,0,274.0,3719.6,330.42,15469.67,1710.49,3377.46,9.8,125.52,0,4988.9,136.89,403.38,0,0,0,30716.63
2015-01-03 16:00:00,235.9,0,369.0,3681.91,331.88,16039.33,1800.05,3456.49,9.8,124.39,0,5320.95,136.89,402.28,0,0,0,31908.87
2015-01-03 17:00:00,290.2,0,402.0,3883.57,330.21,16302.36,1792.5,3331.2,10.0,126.96,0,5306.93,134.68,412.94,0,0,0,32323.55
2015-01-03 18:00:00,294.4,0,418.0,3829.12,332.27,15892.2,1739.62,2982.46,10.0,125.7,0,5300.88,136.89,310.71,0,0,0,31372.25
2015-01-03 19:00:00,302.7,0,424.0,3827.14,335.26,15548.35,1625.91,2449.4,10.0,127.25,0,5301.95,136.89,370.07,0,0,0,30458.92
2015-01-03 20:00:00,300.6,0,413.0,3906.15,332.8,13948.09,1566.08,1597.74,10.0,126.92,0,5307.85,134.68,364.8,0,0,0,28008.71
2015-01-03 21:00:00,297.8,0,429.0,3964.1,333.55,15162.41,1503.39,1258.82,10.0,125.19,0,5307.9,134.68,349.11,0,0,0,28875.95
2015-01-03 22:00:00,268.6,0,416.0,4031.59,337.48,14875.95,1489.15,1835.31,10.0,124.65,0,5324.8,136.89,326.38,0,0,0,29176.8
2015-01-03 23:00:00,258.7,0,391.0,4075.36,333.52,13810.75,1367.86,2136.45,10.0,119.19,0,3982.55,136.89,289.02,0,0,0,26911.29
2015-01-04 00:00:00,261.4,0,411.0,4073.32,336.59,11870.5,1376.36,1892.63,10.0,124.6,0,5272.65,136.89,362.3,0,0,0,26128.24
2015-01-04 01:00:00,261.4,0,422.0,4012.01,336.37,11058.0,1327.14,1082.35,10.0,123.55,0,5200.6,134.68,403.94,0,0,0,24372.04
2015-01-04 02:00:00,254.9,0,423.0,3905.41,336.91,10010.81,1159.87,759.81,10.0,124.03,0,5219.7,136.89,452.68,0,0,0,22794.01
2015-01-04 03:00:00,259.8,0,432.0,3898.62,329.68,9625.5,1100.94,747.17,10.0,121.75,0,4960.64,134.68,517.22,0,0,0,22138.0
2015-01-04 04:00:00,259.8,0,428.0,3861.87,328.56,9603.98,1111.03,740.98,10.0,119.46,0,4597.66,108.19,610.92,0,0,0,21780.45
2015-01-04 05:00:00,261.9,0,421.0,3708.04,335.16,9630.13,1087.22,879.35,10.0,119.63,0,4589.75,110.4,812.58,0,0,0,21965.16
2015-01-04 06:00:00,277.8,0,433.0,3996.36,336.31,9226.02,1115.78,666.58,7.6,119.83,0,4978.6,132.48,969.62,0,0,0,22259.98
2015-01-04 07:00:00,282.0,0,433.0,3897.26,336.46,9086.9,1135.19,649.7,7.6,119.8,0,4423.8,108.19,1087.91,0,0,0,21567.81
2015-01-04 08:00:00,285.0,0,431.0,4008.17,336.04,9638.37,1272.01,765.82,7.6,120.61,0,4382.8,105.98,1258.13,0,0,0,22611.53
2015-01-04 09:00:00,281.0,0,418.0,3923.37,335.06,10858.45,1352.89,877.84,7.6,122.21,0,4907.77,105.98,1205.14,0,0,0,24395.31
2015-01-04 10:00:00,274.9,0,422.0,3901.01,333.81,12165.91,1391.11,924.26,7.6,121.07,0,5175.7,130.27,1283.65,0,0,0,26131.29
2015-01-04 11:00:00,273.2,0,437.0,3934.35,333.12,12623.83,1455.03,1591.77,7.6,121.66,0,5265.76,136.89,1382.41,0,0,0,27562.62
2015-01-04 12:00:00,272.1,0,426.0,3971.17,333.94,12260.85,1464.46,1780.4,7.0,120.35,0,5256.82,136.89,1505.34,0,0,0,27535.32
2015-01-04 13:00:00,275.5,0,445.0,3822.03,334.13,12613.67,1463.59,1826.06,7.0,121.55,0,5269.8,136.89,1592.96,0,0,0,27908.18
2015-01-04 14:00:00,285.5,0,434.0,3817.68,333.24,12718.43,1439.0,1689.49,7.0,122.09,0,5244.74,136.89,1608.94,0,0,0,27837.0
2015-01-04 15:00:00,291.8,0,387.0,3803.24,334.57,12902.51,1429.77,1833.52,7.0,120.27,0,5252.55,136.89,1508.83,0,0,0,28007.95
2015-01-04 16:00:00,281.8,0,402.0,3805.53,334.15,13573.15,1571.47,2507.96,7.0,121.78,0,5293.9,136.89,1481.32,0,0,0,29516.95
2015-01-04 17:00:00,304.9,0,389.0,3819.02,332.89,14207.0,1583.37,3182.28,7.0,119.23,0,5291.83,136.89,1297.88,0,0,0,30671.29
2015-01-04 18:00:00,305.2,0,395.0,3860.08,323.18,14070.08,1453.75,3182.83,7.0,122.21,0,5297.78,136.89,1114.38,0,0,0,30268.38
2015-01-04 19:00:00,300.3,0,393.0,3815.56,331.55,13402.43,1383.75,3342.28,7.0,123.27,0,5293.85,136.89,1345.64,0,0,0,29875.52
2015-01-04 20:00:00,305.4,0,383.0,3573.18,333.36,13452.39,1359.12,2985.63,7.5,121.59,0,5304.73,136.89,1446.49,0,0,0,29409.28
2015-01-04 21:00:00,300.5,0,390.0,3393.07,332.61,13183.57,1326.22,2894.88,7.5,120.22,0,5319.9,136.89,1646.45,0,0,0,29051.81
2015-01-04 22:00:00,272.7,0,379.0,3380.56,334.5,13055.5,1347.52,2957.23,7.5,119.53,0,5321.88,136.89,1867.66,0,0,0,29180.47
2015-01-04 23:00:00,278.9,0,416.0,3399.04,333.61,12513.23,1212.94,1845.21,7.5,116.14,0,5278.79,136.89,1920.89,0,0,0,27459.14
2015-01-05 00:00:00,271.2,0,470.0,3411.86,332.74,11021.19,1221.37,1402.78,7.5,120.06,0,5240.75,136.89,1877.22,0,0,0,25513.56
2015-01-05 01:00:00,274.1,0,467.5,3389.75,332.63,9462.6,1207.9,1125.78,8.0,121.13,0,5200.73,136.89,1687.26,0,0,0,23414.27
2015-01-05 02:00:00,273.3,0,484.5,3369.63,332.31,9360.58,1114.04,878.2,8.0,122.13,0,4424.85,123.64,1686.33,0,0,0,22177.51
2015-01-05 03:00:00,273.1,0,470.5,3360.56,332.11,9538.9,1028.42,716.45,8.0,120.51,0,4174.66,105.98,1566.89,0,0,0,21696.08
2015-01-05 04:00:00,278.3,0,462.5,3323.88,331.42,9649.13,1006.89,826.56,8.0,122.36,0,4090.76,105.98,1527.51,0,0,0,21733.29
2015-01-05 05:00:00,279.2,0,477.5,3386.63,332.5,9835.73,1017.76,834.03,8.0,121.25,0,4563.75,130.27,1556.39,0,0,0,22543.01
2015-01-05 06:00:00,295.4,0,490.5,3495.41,333.05,10160.43,1129.75,1356.74,9.8,121.63,0,4971.72,136.89,1513.7,0,0,0,24015.02
2015-01-05 07:00:00,285.4,0,472.5,3522.07,333.31,11495.03,1187.23,1823.8,9.8,122.89,0,5005.9,134.68,1523.05,0,0,0,25915.66
2015-01-05 08:00:00,296.0,0,477.5,3413.87,333.99,15315.25,1559.78,2755.33,9.8,124.75,0,5080.8,136.89,1454.57,0,0,0,30958.53
2015-01-05 09:00:00,284.7,0,478.5,3416.43,324.5,17333.17,2101.38,3708.58,9.8,123.78,0,5068.8,136.89,1431.65,0,0,0,34418.18
2015-01-05 10:00:00,281.6,0,471.5,3470.44,332.48,18183.38,2261.9,3758.2,9.8,110.61,0,4946.7,134.68,1619.73,0,0,0,35581.02
2015-01-05 11:00:00,287.6,0,489.5,3661.24,331.49,18045.36,2210.63,4161.26,9.8,107.93,0,5039.76,136.89,1830.35,0,0,0,36311.81
2015-01-05 12:00:00,288.7,0,469.5,3724.23,331.04,17749.09,1972.1,3120.9,9.8,113.07,0,5056.9,136.89,1889.56,0,0,0,34861.78
2015-01-05 13:00:00,286.7,0,459.5,3793.57,330.29,17933.96,1980.13,3310.15,9.8,120.87,0,5069.8,136.89,1942.43,0,0,0,35374.09
2015-01-05 14:00:00,285.7,0,465.5,3814.59,331.98,17810.67,2063.2,3976.16,9.8,121.5,0,5064.76,134.68,1821.15,0,0,0,35899.69
2015-01-05 15:00:00,290.1,0,477.5,3510.18,332.61,17969.2,2036.16,3935.54,9.8,123.25,0,5051.55,136.89,1902.47,0,0,0,35775.25
2015-01-05 16:00:00,289.4,0,478.5,3430.97,328.46,17880.04,2062.73,4803.0,0.0,117.09,0,5108.85,134.68,1895.54,0,0,0,36529.26
2015-01-05 17:00:00,298.3,0,451.5,3492.38,331.97,17448.24,2229.65,4923.42,10.0,122.42,0,5207.88,136.89,2104.05,0,0,0,36756.7
2015-01-05 18:00:00,303.4,0,450.5,3457.8,332.94,16757.21,2092.13,3690.2,10.0,124.68,0,5244.87,136.89,2366.0,0,0,0,34966.62
2015-01-05 19:00:00,296.8,0,446.5,3431.97,332.5,16104.27,1831.13,3098.33,10.0,127.19,0,5264.85,134.68,2397.66,0,0,0,33475.88
2015-01-05 20:00:00,293.8,0,461.5,3415.86,331.49,15476.3,1803.73,2778.07,10.0,128.42,0,5280.73,134.68,2490.74,0,0,0,32605.32
2015-01-05 21:00:00,295.1,0,480.5,3404.21,324.64,14616.9,1783.49,2807.04,5.0,128.89,0,5234.92,136.89,2535.47,0,0,0,31753.05
2015-01-05 22:00:00,284.9,0,438.5,3403.88,332.21,14432.3,1767.46,3192.38,5.0,117.0,0,5275.98,136.89,2416.84,0,0,0,31803.34
2015-01-05 23:00:00,284.9,0,432.5,3397.72,333.5,13637.19,1654.09,2509.26,5.0,125.13,0,5241.73,134.68,2410.23,0,0,0,30165.93
2015-01-06 00:00:00,273.1,0,455.5,3428.21,336.37,11646.93,1679.14,2091.06,5.0,122.6,0,5165.75,136.89,2622.65,0,0,0,27963.2
2015-01-06 01:00:00,262.1,0,458.5,3384.88,334.55,10345.1,1602.48,1589.85,10.0,117.52,0,5158.73,136.89,2670.14,0,0,0,26070.74
2015-01-06 02:00:00,257.1,0,449.5,3364.49,332.69,9822.88,1475.49,1611.18,9.8,123.9,0,4551.85,125.85,2587.75,0,0,0,24712.48
2015-01-06 03:00:00,255.6,0,445.5,3352.57,333.81,9596.67,1423.82,1357.85,9.6,118.09,0,4440.84,117.02,2592.14,0,0,0,24043.51
2015-01-06 04:00:00,256.6,0,455.5,3355.56,334.07,9894.34,1362.54,947.94,9.6,107.39,0,4262.8,130.27,2683.97,0,0,0,23800.58
2015-01-06 05:00:00,257.7,0,448.0,3131.06,268.73,10399.62,1378.28,1135.41,9.6,118.1,0,4117.85,136.89,2611.17,0,0,0,24012.41
2015-01-06 06:00:00,272.9,0,459.5,3047.28,268.37,11214.44,1437.65,1295.77,9.4,121.08,0,3842.8,134.68,2678.22,0,0,0,24782.09
2015-01-06 07:00:00,276.1,0,468.5,3030.12,266.61,12223.24,1460.15,1591.02,9.4,121.95,0,3856.9,136.89,2649.56,0,0,0,26090.44
2015-01-06 08:00:00,276.6,0,473.5,3042.36,299.34,14769.09,1770.95,3000.57,9.6,123.7,0,4606.85,136.89,2584.98,0,0,0,31094.43
2015-01-06 09:00:00,236.6,0,467.5,2998.8,310.8,16812.85,2062.16,3541.55,9.6,119.48,0,3959.9,136.89,2624.72,0,0,0,33280.85
2015-01-06 10:00:00,229.6,0,468.5,3024.51,298.97,17094.52,2176.13,4474.67,9.6,112.38,0,3997.8,136.89,2539.23,0,0,0,34562.8
2015-01-06 11:00:00,231.5,0,460.5,3009.36,302.43,17469.67,2229.93,4992.29,9.8,118.67,0,3984.81,136.89,2403.39,0,0,0,35349.24
2015-01-06 12:00:00,232.5,0,477.5,3050.35,302.96,17102.01,2185.71,4302.17,9.8,120.13,0,3980.9,136.89,2381.2,0,0,0,34282.12
2015-01-06 13:00:00,234.4,0,469.5,3026.32,315.8,17413.16,2168.83,4587.36,9.8,118.57,0,3982.9,136.89,2438.28,0,0,0,34901.81
2015-01-06 14:00:00,230.4,0,478.5,3132.74,319.39,17307.93,2239.5,4859.55,9.8,119.33,0,4073.76,136.89,2522.89,0,0,0,35430.68
2015-01-06 15:00:00,240.7,0,469.5,3054.2,327.72,17427.14,2336.71,4229.13,9.8,123.71,0,4365.55,136.89,2503.5,0,0,0,35224.55
2015-01-06 16:00:00,283.2,0,495.5,3079.14,325.72,17628.98,2346.4,4730.86,0.0,117.6,0,4555.85,134.68,2256.9,0,0,0,35954.83
